date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2018-08-10,sh.601318,60.5600,60.9600,59.8300,60.4400,60.6200,34904151,2108590693.0000,3,0.322212,1,-0.296932,0
2018-08-13,sh.601318,59.8000,59.8500,58.6600,59.5500,60.4400,45464948,2692879775.0000,3,0.419702,1,-1.472534,0
2018-08-14,sh.601318,59.5600,59.7200,58.5800,59.0500,59.5500,30874067,1824184784.0000,3,0.285009,1,-0.839631,0
2018-08-15,sh.601318,59.0300,59.0500,56.6700,57.0300,59.0500,61374792,3531927672.0000,3,0.566572,1,-3.420830,0
2018-08-16,sh.601318,56.3800,57.9500,55.8800,56.9800,57.0300,47507498,2710351662.0000,3,0.438558,1,-0.087672,0
2018-08-17,sh.601318,57.7000,57.8200,56.4600,56.5800,56.9800,35136005,2009697401.0000,3,0.324352,1,-0.701997,0
2018-08-20,sh.601318,56.9400,57.8200,56.7600,57.8100,56.5800,46214266,2653996237.0000,3,0.426620,1,2.173912,0
2018-08-21,sh.601318,57.8600,59.6500,57.8600,59.4200,57.8100,63665064,3768112543.0000,3,0.587714,1,2.784980,0
2018-08-22,sh.601318,61.2800,61.5000,60.3700,60.9300,59.4200,104185714,6355540682.0000,3,0.961774,1,2.541236,0
2018-08-23,sh.601318,61.0100,62.3800,61.0100,62.1300,60.9300,75611130,4682981908.0000,3,0.697992,1,1.969474,0
2018-08-24,sh.601318,61.7000,63.3300,61.5000,62.4700,62.1300,57263151,3574475333.0000,3,0.528616,1,0.547240,0
2018-08-27,sh.601318,63.0800,63.6800,62.7200,63.4700,62.4700,58579343,3706028568.0000,3,0.540766,1,1.600768,0
2018-08-28,sh.601318,63.8000,63.8400,62.6000,62.9000,63.4700,42494421,2683512093.0000,3,0.392280,1,-0.898062,0
2018-08-29,sh.601318,62.6800,63.3000,62.6500,63.0100,62.9000,27892679,1757300920.0000,3,0.257487,1,0.174876,0
2018-08-30,sh.601318,63.5000,64.0500,63.0200,63.1600,63.0100,45849633,2916938041.0000,3,0.423254,1,0.238060,0
2018-08-31,sh.601318,62.4000,63.4300,62.2000,62.9800,63.1600,52111400,3273908661.0000,3,0.481058,1,-0.284991,0
2018-09-03,sh.601318,62.6000,63.0000,62.1100,62.7300,62.9800,32379059,2027395425.0000,3,0.298902,1,-0.396951,0
2018-09-04,sh.601318,62.8500,64.9300,62.5400,64.8000,62.7300,65837878,4208358192.0000,3,0.607772,1,3.299862,0
2018-09-05,sh.601318,64.4100,64.6400,62.8000,62.8000,64.8000,50743718,3235414305.0000,3,0.468432,1,-3.086426,0
2018-09-06,sh.601318,62.1000,62.5200,61.0100,61.3200,62.1800,45742629,2827435706.0000,3,0.422266,1,-1.383082,0
2018-09-07,sh.601318,61.8800,63.5000,61.6000,62.7800,61.3200,49471165,3105514558.0000,3,0.456685,1,2.380951,0
2018-09-10,sh.601318,62.6000,62.8700,61.6000,62.0300,62.7800,32339001,2008532822.0000,3,0.298532,1,-1.194648,0
2018-09-11,sh.601318,62.0000,62.5800,61.2500,61.6800,62.0300,34707057,2147831325.0000,3,0.320393,1,-0.564241,0
2018-09-12,sh.601318,61.3100,61.4600,60.2800,60.6000,61.6800,43546028,2644081431.0000,3,0.401988,1,-1.750976,0
2018-09-13,sh.601318,61.7800,62.4000,61.0100,62.4000,60.6000,53884697,3328513240.0000,3,0.497428,1,2.970302,0
2018-09-14,sh.601318,62.5700,63.7600,62.4200,63.3000,62.4000,55837041,3529776705.0000,3,0.515451,1,1.442304,0
2018-09-17,sh.601318,62.3000,63.1800,62.2500,62.5100,63.3000,26959587,1686602295.0000,3,0.248873,1,-1.248027,0
2018-09-18,sh.601318,62.1500,64.3000,62.1000,64.1200,62.5100,63556933,4033820471.0000,3,0.586716,1,2.575595,0
2018-09-19,sh.601318,64.0900,65.8000,63.8100,65.1500,64.1200,83470507,5411874454.0000,3,0.770545,1,1.606361,0
2018-09-20,sh.601318,65.2000,65.5600,64.6100,64.8000,65.1500,41892378,2721332741.0000,3,0.386723,1,-0.537219,0
2018-09-21,sh.601318,65.2800,67.5000,64.9700,67.4900,64.8000,81043109,5386807332.0000,3,0.748136,1,4.151226,0
2018-09-25,sh.601318,66.9000,67.7300,66.4800,67.1900,67.4900,57810389,3878568209.0000,3,0.533667,1,-0.444503,0
2018-09-26,sh.601318,67.2300,69.0000,66.8300,67.9600,67.1900,90852551,6186718195.0000,3,0.838691,1,1.145999,0
2018-09-27,sh.601318,67.7300,67.7500,66.8600,67.2000,67.9600,62357433,4190581061.0000,3,0.575643,1,-1.118308,0
2018-09-28,sh.601318,67.5000,69.1000,67.4400,68.5000,67.2000,73952387,5052835863.0000,3,0.682680,1,1.934528,0
2018-10-08,sh.601318,66.8000,66.8400,64.7100,64.7800,68.5000,112844471,7402497487.0000,3,1.041706,1,-5.430658,0
2018-10-09,sh.601318,64.6300,65.3800,64.3300,65.0000,64.7800,48631908,3155728031.0000,3,0.448938,1,0.339613,0
2018-10-10,sh.601318,65.0900,65.5800,64.2000,64.6500,65.0000,58279902,3780647727.0000,3,0.538002,1,-0.538459,0
2018-10-11,sh.601318,62.1000,63.2000,61.3800,61.8500,64.6500,114532745,7141404125.0000,3,1.057291,1,-4.331017,0
2018-10-12,sh.601318,62.5000,64.2500,62.3000,63.8700,61.8500,77461671,4901391148.0000,3,0.715075,1,3.265967,0
2018-10-15,sh.601318,63.9000,64.4400,63.0900,63.2000,63.8700,53974326,3437483874.0000,3,0.498255,1,-1.049003,0
2018-10-16,sh.601318,63.3500,65.1800,63.3300,64.0000,63.2000,58403499,3761333740.0000,3,0.539143,1,1.265822,0
2018-10-17,sh.601318,65.1700,65.3200,62.4100,64.1600,64.0000,76140192,4861851849.0000,3,0.702876,1,0.250006,0
2018-10-18,sh.601318,63.4900,63.5200,62.2500,62.4500,64.1600,60301984,3788520129.0000,3,0.556668,1,-2.665216,0
2018-10-19,sh.601318,61.9900,66.1000,61.8800,65.6200,62.4500,113881516,7314843218.0000,3,1.051279,1,5.076064,0
2018-10-22,sh.601318,66.0100,69.4200,65.6200,67.9300,65.6200,161688174,10961620260.0000,3,1.492598,1,3.520264,0
2018-10-23,sh.601318,68.0000,68.3200,64.8800,65.5100,67.9300,117213446,7814653832.0000,3,1.082037,1,-3.562488,0
2018-10-24,sh.601318,65.7800,67.8500,65.5600,66.2500,65.5100,81063205,5398315014.0000,3,0.748322,1,1.129595,0
2018-10-25,sh.601318,64.2000,66.6600,64.2000,66.6600,66.2500,73620253,4816111122.0000,3,0.679614,1,0.618873,0
2018-10-26,sh.601318,66.3000,66.7700,64.3800,65.5400,66.6600,79741104,5212551961.0000,3,0.736117,1,-1.680172,0
2018-10-29,sh.601318,65.8700,65.9900,61.9000,62.0000,65.5400,121641942,7666491234.0000,3,1.122918,1,-5.401283,0
2018-10-30,sh.601318,60.0000,64.6300,59.5000,62.8000,62.0000,126920829,7969650420.0000,3,1.171649,1,1.290321,0
2018-10-31,sh.601318,63.0100,63.9500,62.1600,63.6300,62.8000,78283525,4948893033.0000,3,0.722662,1,1.321659,0
2018-11-01,sh.601318,64.2200,65.5000,64.0800,64.3000,63.6300,68987109,4463737106.0000,3,0.636843,1,1.052966,0
2018-11-02,sh.601318,66.9200,67.3500,65.5500,67.3500,64.3000,117394937,7821171766.0000,3,1.083712,1,4.743383,0
2018-11-05,sh.601318,66.5000,67.0500,65.7000,66.5800,67.3500,54713186,3634382539.0000,3,0.505076,1,-1.143276,0
2018-11-06,sh.601318,66.2000,66.8000,65.8000,66.8000,66.5800,38508185,2553280683.0000,3,0.355482,1,0.330431,0
2018-11-07,sh.601318,66.8900,67.3400,65.9000,66.1200,66.8000,51065843,3393066441.0000,3,0.471406,1,-1.017964,0
2018-11-08,sh.601318,66.9300,67.1700,66.0000,66.3000,66.1200,50494617,3364558944.0000,3,0.466133,1,0.272233,0
2018-11-09,sh.601318,65.7500,65.9800,64.3800,64.6200,66.3000,54468970,3544347557.0000,3,0.502822,1,-2.533937,0
2018-11-12,sh.601318,64.4000,65.1400,63.7500,64.6600,64.6200,45851164,2956910272.0000,3,0.423268,1,0.061902,0
2018-11-13,sh.601318,63.7800,65.5700,63.5000,65.0100,64.6600,52099795,3362080743.0000,3,0.480951,1,0.541291,0
2018-11-14,sh.601318,65.0500,65.0900,63.6000,63.9500,65.0100,57381407,3680152361.0000,3,0.529707,1,-1.630520,0
2018-11-15,sh.601318,64.0000,65.1400,63.7700,65.1000,63.9500,50057986,3231462676.0000,3,0.462102,1,1.798276,0
2018-11-16,sh.601318,65.0000,66.3900,64.6900,65.2500,65.1000,61987908,4063786057.0000,3,0.572231,1,0.230417,0
2018-11-19,sh.601318,65.2500,66.2000,64.8000,65.7200,65.2500,50762891,3324370817.0000,3,0.468609,1,0.720308,0
2018-11-20,sh.601318,65.0000,65.4400,63.9100,64.1000,65.7200,59176258,3810974173.0000,3,0.546276,1,-2.465007,0
2018-11-21,sh.601318,63.5300,64.1400,63.5300,64.0100,64.1000,38524931,2459066015.0000,3,0.355637,1,-0.140400,0
2018-11-22,sh.601318,64.1800,64.2000,62.8200,63.1400,64.0100,44368353,2803339519.0000,3,0.409579,1,-1.359167,0
2018-11-23,sh.601318,63.1500,63.5900,62.5200,62.6400,63.1400,37233517,2339115029.0000,3,0.343715,1,-0.791891,0
2018-11-26,sh.601318,63.0000,63.8700,62.8000,63.2000,62.6400,36998907,2340406531.0000,3,0.341549,1,0.894000,0
2018-11-27,sh.601318,63.3100,63.8800,62.9100,63.1100,63.2000,37559684,2377828917.0000,3,0.346726,1,-0.142405,0
2018-11-28,sh.601318,63.1200,63.9600,63.0100,63.7700,63.1100,41169032,2616356268.0000,3,0.380045,1,1.045793,0
2018-11-29,sh.601318,64.3000,64.3800,63.0000,63.0500,63.7700,38665389,2460470881.0000,3,0.356933,1,-1.129060,0
2018-11-30,sh.601318,63.0600,63.6500,62.9000,63.4900,63.0500,34917109,2212885743.0000,3,0.322332,1,0.697863,0
2018-12-03,sh.601318,65.2000,66.0500,64.7700,64.9900,63.4900,112194302,7325910545.0000,3,1.035704,1,2.362571,0
2018-12-04,sh.601318,64.9500,65.0800,64.1600,64.8900,64.9900,56247314,3640115194.0000,3,0.519238,1,-0.153867,0
2018-12-05,sh.601318,64.0500,64.6000,63.9800,64.2500,64.8900,45020712,2892938998.0000,3,0.415601,1,-0.986283,0
2018-12-06,sh.601318,63.6600,63.8800,62.8900,63.0000,64.2500,58586513,3710782048.0000,3,0.540832,1,-1.945525,0
2018-12-07,sh.601318,63.3200,63.5300,62.9800,63.0000,63.0000,27029717,1709048611.0000,3,0.249520,1,0.000000,0
2018-12-10,sh.601318,62.5000,62.6800,61.8200,62.1800,63.0000,49465059,3075386868.0000,3,0.456629,1,-1.301587,0
2018-12-11,sh.601318,62.1800,62.5700,61.8200,62.1700,62.1800,41994888,2605529172.0000,3,0.387669,1,-0.016086,0
2018-12-12,sh.601318,62.8000,62.8300,62.0400,62.4600,62.1700,38739232,2415069230.0000,3,0.357615,1,0.466464,0
2018-12-13,sh.601318,62.7000,63.5000,62.4000,63.2000,62.4600,78275417,4938706633.0000,3,0.722587,1,1.184761,0
2018-12-14,sh.601318,62.9000,62.9400,61.7300,61.9400,63.2000,75075554,4664205074.0000,3,0.693048,1,-1.993674,0
2018-12-17,sh.601318,61.8700,62.2600,61.0300,61.2700,61.9400,71213138,4372511195.0000,3,0.657393,1,-1.081689,0
2018-12-18,sh.601318,60.9000,61.6800,60.4700,60.8500,61.2700,53230206,3244689448.0000,3,0.491386,1,-0.685494,0
2018-12-19,sh.601318,61.0000,61.2600,59.8800,60.1200,60.8500,51553816,3118190766.0000,3,0.475911,1,-1.199671,0
2018-12-20,sh.601318,59.9500,60.1800,58.5800,59.0000,60.1200,80695579,4779472466.0000,3,0.744928,1,-1.862939,0
2018-12-21,sh.601318,58.7500,58.8500,57.4500,58.3400,59.0000,73912789,4287044788.0000,3,0.682314,1,-1.118644,0
2018-12-24,sh.601318,58.0000,58.3000,57.7500,58.2500,58.3400,35874842,2084472986.0000,3,0.331173,1,-0.154268,0
2018-12-25,sh.601318,57.5400,58.7800,56.8800,58.2100,58.2500,66463319,3837466568.0000,3,0.613545,1,-0.068671,0
2018-12-26,sh.601318,58.1700,58.2500,57.2000,57.3000,58.2100,39782133,2293584057.0000,3,0.367242,1,-1.563305,0
2018-12-27,sh.601318,58.2800,58.3800,56.9000,56.9000,57.3000,75189050,4329636520.0000,3,0.694096,1,-0.698076,0
2018-12-28,sh.601318,57.0000,57.2300,56.1000,56.1000,56.9000,91498805,5177718206.0000,3,0.844657,1,-1.405981,0
2019-01-02,sh.601318,56.0400,56.1800,54.9400,55.1800,56.1000,82554243,4573024812.0000,3,0.762086,1,-1.639925,0
2019-01-03,sh.601318,55.1500,56.3300,55.0600,55.6800,55.1800,69271124,3864646451.0000,3,0.639465,1,0.906125,0
2019-01-04,sh.601318,55.2800,57.0000,55.2300,56.5900,55.6800,112985585,6376773583.0000,3,1.043008,1,1.634339,0
2019-01-07,sh.601318,57.0900,57.1700,55.9000,56.3000,56.5900,76593007,4326151604.0000,3,0.707056,1,-0.512460,0
2019-01-08,sh.601318,56.0500,56.0900,55.2000,55.8000,56.3000,55992092,3116381576.0000,3,0.516882,1,-0.888100,0
2019-01-09,sh.601318,56.2000,57.6000,55.9600,56.9500,55.8000,81914613,4673997766.0000,3,0.756182,1,2.060935,0
2019-01-10,sh.601318,56.8700,57.8200,56.5500,57.5000,56.9500,67328223,3858446844.0000,3,0.621530,1,0.965758,0
2019-01-11,sh.601318,58.0000,58.2900,57.5000,58.0700,57.5000,45756973,2650921529.0000,3,0.422398,1,0.991304,0
2019-01-14,sh.601318,57.7400,57.9500,56.9000,57.1200,58.0700,47532651,2723611890.0000,3,0.438790,1,-1.635958,0
2019-01-15,sh.601318,57.2600,58.6900,57.0600,58.5900,57.1200,58626487,3413728308.0000,3,0.541201,1,2.573532,0
2019-01-16,sh.601318,58.4200,58.9600,58.0100,58.7400,58.5900,40411183,2368178488.0000,3,0.373049,1,0.256019,0
2019-01-17,sh.601318,59.0500,59.8000,58.5600,58.7300,58.7400,53505039,3168128862.0000,3,0.493923,1,-0.017028,0
2019-01-18,sh.601318,59.2300,60.0200,58.6900,59.9200,58.7300,56175665,3350801454.0000,3,0.518577,1,2.026219,0
2019-01-21,sh.601318,59.9300,61.1100,59.8500,60.7900,59.9200,55984277,3395168935.0000,3,0.516810,1,1.451941,0
2019-01-22,sh.601318,60.6000,60.6400,59.7400,60.0700,60.7900,41950761,2524729521.0000,3,0.387262,1,-1.184407,0
2019-01-23,sh.601318,59.8200,60.4000,59.4500,59.4900,60.0700,37493263,2243882420.0000,3,0.346113,1,-0.965537,0
2019-01-24,sh.601318,59.6100,60.5200,59.2200,60.4300,59.4900,44940618,2694967118.0000,3,0.414862,1,1.580095,0
